City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bethel,41.3712,-73.414,21.14,65,72,0.45,US,1724279205
1,cabedelo,-6.9811,-34.8339,25.37,86,8,6.14,BR,1724279206
2,tuam,53.5167,-8.85,14.82,84,100,9.53,IE,1724279207
3,dongcun,36.7767,121.1597,24.24,92,100,2.87,CN,1724279208
4,oum el bouaghi,35.8754,7.1135,20.43,49,82,1.41,DZ,1724279209
5,rongelap,11.1635,166.8941,28.05,78,13,4.61,MH,1724279211
6,ushuaia,-54.8,-68.3,5.81,65,0,9.26,AR,1724278988
7,atafu village,-8.5421,-172.5159,28.16,78,47,9.6,TK,1724279213
8,waitangi,-43.9535,-176.5597,10.46,84,17,2.24,NZ,1724279214
9,riberalta,-10.9833,-66.1,32.11,58,40,0.0,BO,1724279215
10,banfora,10.6333,-4.7667,23.33,93,7,2.15,BF,1724279217
11,adamstown,-25.066,-130.1015,16.96,55,53,7.68,PN,1724279218
12,rikaze,29.25,88.8833,13.09,57,95,1.55,CN,1724279219
13,wailua homesteads,22.0669,-159.378,28.44,70,20,6.69,US,1724279220
14,hotan,37.0997,79.9269,24.7,34,46,0.77,CN,1724279223
15,port-aux-francais,-49.35,70.2167,2.96,93,99,16.04,TF,1724279224
16,colonia,50.9333,6.95,15.53,76,0,2.06,DE,1724278963
17,bubaque,11.2833,-15.8333,25.79,87,100,8.34,GW,1724279226
18,vernon,50.2581,-119.2691,24.31,41,100,1.54,CA,1724279227
19,nikol'sk,53.7189,46.0712,11.7,72,3,1.99,RU,1724279228
20,inebolu,41.9747,33.7608,24.26,65,78,3.67,TR,1724279229
21,taoudenni,22.6783,-3.9836,41.91,15,50,4.51,ML,1724279231
22,cidreira,-30.1811,-50.2056,17.34,92,89,9.72,BR,1724279232
23,vallenar,-28.5708,-70.7581,11.99,36,0,2.86,CL,1724279233
24,itaituba,-4.2761,-55.9836,31.27,28,78,0.61,BR,1724279234
25,udachny,66.4167,112.4,13.35,80,100,1.45,RU,1724279235
26,howrah,22.5892,88.3103,28.0,94,100,2.06,IN,1724279237
27,sahar,24.3643,56.7468,30.01,74,80,0.51,OM,1724279238
28,albany,42.6001,-73.9662,18.23,70,46,2.68,US,1724279120
29,ilulissat,69.2167,-51.1,5.01,81,20,1.03,GL,1724279240
30,dunedin,-45.8742,170.5036,8.78,61,36,2.24,NZ,1724279241
31,benguela,-12.5763,13.4055,21.06,82,99,0.64,AO,1724279242
32,pontotoc,34.2479,-88.9987,29.78,16,0,4.54,US,1724279244
33,kendari,-3.945,122.4989,22.6,93,100,0.87,ID,1724279234
34,ambodifotatra,-16.9833,49.85,23.1,73,15,9.75,MG,1724279246
35,sinabang,2.4803,96.3801,26.69,78,100,2.32,ID,1724279247
36,yellowknife,62.456,-114.3525,14.29,69,75,8.23,CA,1724279248
37,whitehorse,60.7161,-135.0538,17.28,38,75,6.17,CA,1724279249
38,blackmans bay,-43.0167,147.3167,10.29,68,23,0.45,AU,1724279251
39,ribeira grande,38.5167,-28.7,22.65,83,90,2.68,PT,1724279252
40,cassilandia,-19.1133,-51.7342,27.97,17,2,2.28,BR,1724279169
41,iskateley,67.6803,53.1512,5.94,96,47,1.86,RU,1724279254
42,tahe,52.3333,124.7333,14.79,67,100,0.52,CN,1724279255
43,anadyr,64.75,177.4833,9.28,87,75,6.0,RU,1724279256
44,kilinochchi,9.3961,80.3982,26.2,76,100,6.51,LK,1724279258
45,pasni,25.2631,63.471,27.12,83,1,5.21,PK,1724279109
46,kapuskasing,49.4169,-82.4331,22.05,40,20,1.54,CA,1724279260
47,molepolole,-24.4066,25.4951,14.28,26,3,1.28,BW,1724279261
48,saacow,1.6279,42.4407,24.43,74,100,7.42,SO,1724279262
49,enewetak,11.3474,162.3373,28.52,78,100,5.18,MH,1724279263
50,hawaiian paradise park,19.5933,-154.9731,27.63,77,100,2.57,US,1724279265
51,qaqortoq,60.7167,-46.0333,4.13,86,12,2.38,GL,1724279266
52,cananeia,-25.0147,-47.9267,18.84,90,0,1.6,BR,1724279066
53,kolonia town,6.964,158.206,31.0,70,100,2.06,FM,1724279268
54,coulaines,48.0241,0.2041,14.0,88,0,1.03,FR,1724278977
55,stanley,54.868,-1.6985,15.29,74,20,7.72,GB,1724279270
56,bilibino,68.0546,166.4372,7.17,80,100,1.97,RU,1724279271
57,badger,64.8,-147.5333,11.95,72,100,0.0,US,1724279273
58,eldorado at santa fe,35.5264,-105.9347,34.51,17,0,5.66,US,1724279274
59,margaret river,-33.95,115.0667,11.6,91,100,4.29,AU,1724279275
60,petropavlovsk-kamchatsky,53.0452,158.6483,14.33,55,0,2.0,RU,1724279276
61,basco,20.4487,121.9702,28.87,80,95,3.59,PH,1724279277
62,iwanai,42.9744,140.5089,20.81,90,100,3.49,JP,1724279280
63,arraial do cabo,-22.9661,-42.0278,20.98,94,0,1.03,BR,1724279043
64,tocantins,-10.5,-48.0,28.07,28,0,1.99,BR,1724279282
65,pullman,46.7313,-117.1796,23.33,41,20,2.06,US,1724279283
66,carnarvon,-24.8667,113.6333,19.66,80,0,5.7,AU,1724279284
67,hammerfest,70.6634,23.6821,17.25,72,20,6.17,NO,1724279285
68,vorgashor,67.5833,63.95,7.33,92,100,4.05,RU,1724279287
69,zhangye,38.9342,100.4517,22.0,33,29,1.38,CN,1724279288
70,avarua,-21.2078,-159.775,26.03,73,20,7.2,CK,1724279247
71,port-cartier,50.0334,-66.8654,17.05,56,5,2.12,CA,1724279290
72,kingston,17.997,-76.7936,28.53,79,75,2.57,JM,1724279027
73,vilyuchinsk,52.9306,158.4028,15.15,57,22,3.05,RU,1724279292
74,neya,58.2972,43.8681,11.85,82,3,1.65,RU,1724279294
75,thompson,55.7435,-97.8558,28.09,57,75,2.57,CA,1724279228
76,grytviken,-54.2811,-36.5092,-5.4,74,16,9.07,GS,1724279296
77,lebu,-37.6167,-73.65,8.15,83,100,5.58,CL,1724279148
78,atar,20.5169,-13.0499,36.4,34,24,4.55,MR,1724279298
79,anshun,26.25,105.9333,18.03,98,39,1.28,CN,1724279300
80,sterling,39.0062,-77.4286,24.03,41,75,4.63,US,1724279119
81,puerto natales,-51.7236,-72.4875,3.25,75,0,2.06,CL,1724279302
82,tolanaro,-25.0319,46.9987,21.04,73,20,5.14,MG,1724279303
83,cappelle-la-grande,50.9998,2.3585,14.45,81,93,1.34,FR,1724279305
84,college,64.8569,-147.8028,11.99,71,100,0.0,US,1724279306
85,isafjordur,66.0755,-23.124,3.88,95,100,8.52,IS,1724279307
86,jamestown,42.097,-79.2353,17.79,62,100,3.09,US,1724279178
87,hermanus,-34.4187,19.2345,3.78,68,68,3.96,ZA,1724279309
88,tiksi,71.6872,128.8694,4.33,80,22,2.96,RU,1724279310
89,longyearbyen,78.2186,15.6401,11.91,76,75,6.17,SJ,1724279312
90,antsohihy,-14.8796,47.9875,22.59,55,8,5.24,MG,1724279313
91,la ronge,55.1001,-105.2842,29.14,26,40,2.57,CA,1724279314
92,bandipura,34.4167,74.65,16.78,78,80,2.42,IN,1724279315
93,ostseebad kuhlungsborn,54.15,11.75,16.07,75,76,8.98,DE,1724279316
94,shingu,33.7333,135.9833,27.1,83,100,1.17,JP,1724279317
95,olonkinbyen,70.9221,-8.7187,4.28,91,100,3.66,SJ,1724279319
96,luderitz,-26.6481,15.1594,15.22,68,0,6.4,NA,1724279321
97,puerto ayora,-0.7393,-90.3518,19.19,98,40,4.47,EC,1724279322
98,vadso,70.0744,29.7487,16.09,67,20,5.14,NO,1724279323
99,tarauaca,-8.1614,-70.7656,25.55,77,76,1.57,BR,1724279141
100,tralee,52.2704,-9.7026,17.14,88,100,12.86,IE,1724279326
101,alice springs,-23.7,133.8833,13.75,58,0,0.0,AU,1724279328
102,dudinka,69.4058,86.1778,13.02,71,100,2.66,RU,1724279329
103,tozeur,33.9197,8.1335,32.22,35,0,5.14,TN,1724279331
104,port elizabeth,-33.918,25.5701,12.16,75,0,10.29,ZA,1724279305
105,tazovsky,67.4667,78.7,9.94,80,53,1.79,RU,1724279333
106,kourou,5.1552,-52.6478,26.39,85,22,4.06,GF,1724279334
107,invercargill,-46.4,168.35,9.45,71,85,2.24,NZ,1724279335
108,yeed,4.55,43.0333,25.47,49,100,8.6,SO,1724279337
109,papatowai,-46.5619,169.4708,8.8,63,50,2.83,NZ,1724279339
110,nar'yan-mar,67.6713,53.087,6.12,96,51,1.85,RU,1724279340
111,tommot,58.9564,126.2925,14.71,90,94,1.37,RU,1724279341
112,hecun,36.5333,114.1111,23.6,71,0,2.26,CN,1724279343
113,ust-nera,64.5667,143.2,10.96,57,25,1.92,RU,1724279345
114,miles city,46.4083,-105.8406,35.54,29,0,5.55,US,1724279346
115,santa ana de yacuma,-13.75,-65.4333,33.97,43,40,1.54,BO,1724279347
116,cabo san lucas,22.8909,-109.9124,34.17,49,20,3.6,MX,1724279296
117,khost,33.3395,69.9204,23.86,77,2,0.79,AF,1724279351
118,george town,5.4112,100.3354,25.96,94,20,1.03,MY,1724279352
119,sitka,57.0531,-135.33,18.94,55,0,6.17,US,1724279133
120,punta arenas,-53.15,-70.9167,5.06,75,20,8.23,CL,1724279354
